product_id,section,product_name,status,provider,score,matched_name,source_page,image_url,reason,checked_at
nonfood-0071,NONFood,ГЕТ Вакуумний Пакет 10 × 15 (500 шт),no_match,,0.0,,,,brand does not match (get),2026-07-19T18:08:01+00:00
nonfood-0072,NONFood,ГЕТ Вакуумний Пакет 15 × 20 (500 шт),no_match,,0.0,,,,brand does not match (get),2026-07-19T18:08:41+00:00
nonfood-0073,NONFood,"PRO Вакуумний пакет 15 × 20 60 мкм, 500 шт/уп (1 уп/ящ)",no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:09:23+00:00
nonfood-0074,NONFood,"PRO Вакуумний пакет 30 × 40 60 мкм, 500 шт/уп (1 уп/ящ)",no_match,,0.0,,,,source domain is not suitable,2026-07-19T18:10:05+00:00
nonfood-0075,NONFood,"АП Упак/крафт ФРІ Midi буро-біла, 130 × 175(50 шт/пак)",no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:10:46+00:00
nonfood-0076,NONFood,"АП Упак/крафт ФРІ Mini буро-біла, 125 × 120(50 шт/пак)",no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:11:27+00:00
nonfood-0077,NONFood,SP ФРІ крафт 250 S 115 × 85 × 45 мм (50 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:12:07+00:00
nonfood-0078,NONFood,SP ФРІ крафт 300 М 140 × 80 × 40 мм (50 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:12:49+00:00
nonfood-0079,NONFood,SP ФРІ крафт 500 L 165 × 100 × 40 мм (50 шт),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:13:29+00:00
nonfood-0080,NONFood,АП Контейнер 500 мл Ч ПП-118(50 шт/уп),no_match,,0.0,,,,source domain is not suitable,2026-07-19T18:14:10+00:00
nonfood-0081,NONFood,АП Контейнер 750 мл Ч ПП-118(50 шт/уп),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:14:51+00:00
nonfood-0082,NONFood,АП Кришка до контейнера ПП-118(50 шт/уп),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:15:18+00:00
nonfood-0083,NONFood,АП Коробка для піци крафт 300 × 300 × 35 (100 шт/пак),no_match,,0.0,,,,source domain is not suitable,2026-07-19T18:16:00+00:00
nonfood-0084,NONFood,АП Коробка для піци крафт 320 × 320 × 35 (100 шт/пак),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:16:41+00:00
nonfood-0085,NONFood,АП Коробка для піци крафт 350 × 350 × 35 (100 шт/пак),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:17:21+00:00
